date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_pa,error,over_hit,over_pnl,under_pnl
2026-04-30,823391,691023,Jordan Walker,4,St. Louis Cardinals,694973,Paul Skenes,0.315,0.348,0.303,1.0,0.442,4.35,1.92,,,,,,0,,,,,,1,5,-0.92,,,
2026-04-30,824848,683002,Gunnar Henderson,1,Baltimore Orioles,663567,Peter Lambert,0.303,0.333,0.288,1.0,0.404,4.65,1.88,,,,,,0,,,,,,1,5,-0.88,,,
2026-04-30,823795,669003,Garrett Mitchell,1,Milwaukee Brewers,647336,Michael Soroka,0.364,0.333,0.248,1.0,0.388,4.65,1.81,,,,,,0,,,,,,1,5,-0.81,,,
2026-04-30,823795,675659,Greg Jones,8,Milwaukee Brewers,647336,Michael Soroka,0.409,0.409,0.248,1.0,0.452,3.95,1.78,,,,,,0,,,,,,3,4,1.22,,,
2026-04-30,824848,681297,Colton Cowser,7,Baltimore Orioles,663567,Peter Lambert,0.309,0.351,0.288,1.0,0.417,4.05,1.69,,,,,,0,,,,,,1,4,-0.69,,,
2026-04-30,823634,695578,James Wood,1,Washington Nationals,642547,Freddy Peralta,0.323,0.333,0.245,1.02,0.364,4.65,1.69,,,,,,0,,,,,,2,4,0.31,,,
2026-04-30,823472,642715,Willy Adames,6,San Francisco Giants,650911,Cristopher Sánchez,0.31,0.379,0.264,1.0,0.397,4.15,1.65,,,,,,0,,,,,,1,4,-0.65,,,
2026-04-30,823472,671218,Heliot Ramos,1,San Francisco Giants,650911,Cristopher Sánchez,0.316,0.263,0.264,1.0,0.347,4.65,1.61,,,,,,0,,,,,,0,5,-1.61,,,
2026-04-30,823472,646240,Rafael Devers,5,San Francisco Giants,650911,Cristopher Sánchez,0.31,0.339,0.264,1.0,0.378,4.25,1.61,,,,,,0,,,,,,1,4,-0.61,,,
2026-04-30,823391,665833,Oneil Cruz,1,Pittsburgh Pirates,690928,Hunter Dobbins,0.35,0.389,0.211,1.0,0.342,4.65,1.59,,,,,,0,,,,,,2,5,0.41,,,
2026-04-30,824850,683002,Gunnar Henderson,1,Baltimore Orioles,621121,Lance McCullers Jr.,0.303,0.333,0.237,1.0,0.332,4.65,1.54,,,,,,0,,,,,,1,5,-0.54,,,
2026-04-30,823634,677588,José Tena,5,Washington Nationals,642547,Freddy Peralta,0.309,0.333,0.245,1.02,0.355,4.25,1.51,,,,,,0,,,,,,2,4,0.49,,,
2026-04-30,823391,669357,Nolan Gorman,5,St. Louis Cardinals,694973,Paul Skenes,0.282,0.233,0.303,1.0,0.353,4.25,1.5,,,,,,0,,,,,,2,5,0.5,,,
