date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-01,824686,678489,Jorge Barrosa,9,Arizona Diamondbacks,607067,Colin Rea,0.333,0.351,0.188,1.0,0.284,3.85,1.09,0.5,-210,betmgm,155,betmgm,1,0.665,0.633,0.032,-0.018,-0.146
2026-05-01,824686,682998,Corbin Carroll,3,Arizona Diamondbacks,607067,Colin Rea,0.276,0.317,0.188,1.0,0.244,4.45,1.09,0.5,-225,betmgm,165,betmgm,1,0.663,0.647,0.015,-0.043,-0.106
2026-05-01,824686,680728,Adrian Del Castillo,4,Arizona Diamondbacks,607067,Colin Rea,0.311,0.293,0.188,1.0,0.254,4.35,1.1,1.5,170,betmgm,-235,betmgm,1,0.302,0.346,-0.043,-0.183,-0.006
2026-05-01,824686,672695,Geraldo Perdomo,1,Arizona Diamondbacks,607067,Colin Rea,0.126,0.19,0.188,1.0,0.127,4.65,0.59,0.5,-110,betmgm,-120,betmgm,1,0.445,0.49,-0.045,-0.15,0.017
2026-05-01,824686,571448,Nolan Arenado,7,Arizona Diamondbacks,607067,Colin Rea,0.19,0.125,0.188,1.0,0.137,4.05,0.56,0.5,-105,betmgm,-125,betmgm,1,0.426,0.48,-0.054,-0.168,0.033
2026-05-01,824686,672515,Gabriel Moreno,5,Arizona Diamondbacks,607067,Colin Rea,0.178,0.178,0.188,1.0,0.148,4.25,0.63,0.5,-140,betmgm,105,betmgm,1,0.468,0.545,-0.077,-0.198,0.091
2026-05-01,824686,677950,Alek Thomas,8,Arizona Diamondbacks,607067,Colin Rea,0.211,0.193,0.188,1.0,0.17,3.95,0.67,0.5,-160,betmgm,120,betmgm,1,0.489,0.575,-0.086,-0.205,0.123
2026-05-01,824686,545121,Ildemaro Vargas,2,Arizona Diamondbacks,607067,Colin Rea,0.116,0.108,0.188,1.0,0.094,4.55,0.43,0.5,115,betmgm,-155,betmgm,1,0.348,0.433,-0.086,-0.252,0.073
2026-05-01,824686,699912,Jose Fernandez,6,Arizona Diamondbacks,607067,Colin Rea,0.221,0.204,0.188,1.0,0.179,4.15,0.74,0.5,-210,betmgm,155,betmgm,1,0.524,0.633,-0.11,-0.227,0.215
2026-05-01,824686,691718,Pete Crow-Armstrong,8,Chicago Cubs,668678,Zac Gallen,0.297,0.283,0.144,1.0,0.187,3.95,0.74,0.5,-220,betmgm,165,betmgm,1,0.522,0.646,-0.123,-0.24,0.266
2026-05-01,824686,608324,Alex Bregman,3,Chicago Cubs,668678,Zac Gallen,0.147,0.159,0.144,1.0,0.097,4.45,0.43,0.5,-105,betmgm,-125,betmgm,1,0.352,0.48,-0.128,-0.313,0.167
2026-05-01,824686,663538,Nico Hoerner,1,Chicago Cubs,668678,Zac Gallen,0.096,0.081,0.144,1.0,0.058,4.65,0.27,0.5,150,betmgm,-200,betmgm,1,0.235,0.375,-0.14,-0.411,0.147
2026-05-01,824686,683737,Michael Busch,6,Chicago Cubs,668678,Zac Gallen,0.227,0.25,0.144,1.0,0.152,4.15,0.63,0.5,-190,betmgm,140,betmgm,1,0.467,0.611,-0.144,-0.287,0.279
2026-05-01,824686,664023,Ian Happ,4,Chicago Cubs,668678,Zac Gallen,0.291,0.246,0.144,1.0,0.175,4.35,0.76,0.5,-275,betmgm,200,betmgm,1,0.534,0.688,-0.154,-0.272,0.399
2026-05-01,824686,608348,Carson Kelly,7,Chicago Cubs,668678,Zac Gallen,0.17,0.15,0.144,1.0,0.104,4.05,0.42,0.5,-135,betmgm,100,betmgm,1,0.344,0.535,-0.191,-0.401,0.312
2026-05-01,824686,621020,Dansby Swanson,9,Chicago Cubs,668678,Zac Gallen,0.23,0.18,0.144,1.0,0.135,3.85,0.52,0.5,-185,betmgm,135,betmgm,1,0.405,0.604,-0.199,-0.377,0.399
2026-05-01,824686,673548,Seiya Suzuki,5,Chicago Cubs,668678,Zac Gallen,0.241,0.242,0.144,1.0,0.155,4.25,0.66,0.5,-275,betmgm,195,betmgm,1,0.482,0.684,-0.202,-0.342,0.528
2026-05-01,824686,694208,Moisés Ballesteros,2,Chicago Cubs,668678,Zac Gallen,0.152,0.091,0.144,1.0,0.082,4.55,0.37,0.5,-155,betmgm,115,betmgm,1,0.311,0.567,-0.256,-0.489,0.482
