date,game_pk,pitcher_id,pitcher,opp,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,line,over_odds,under_odds,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_bf,gs,over_hit,error_v0,error_v1,error_v2,over_pnl,under_pnl
2026-04-30,823714,592332,Kevin Gausman,Minnesota Twins,0.275,0.227,0.156,0.208,lineup,1.01,0.255,23.3,5.89,6.05,5.96,5.5,-105,-122,0.547,0.482,0.065,0.068,-0.176,,,0,,,,,,
2026-04-30,824850,687064,Brandon Young,Houston Astros,0.143,0.143,0.101,0.195,lineup,1.0,0.141,18.7,3.29,2.34,2.62,2.5,100,-130,0.487,0.469,0.018,-0.025,-0.093,1,13,1,0,-2.29,-1.34,-1.62,-1.0,0.769
2026-04-30,823714,641927,Bailey Ober,Toronto Blue Jays,0.203,0.224,0.095,0.179,lineup,1.01,0.163,22.6,4.86,3.96,3.68,3.5,-157,123,0.501,0.577,-0.076,-0.18,0.113,,,0,,,,,,
2026-04-30,825016,605488,Jeffrey Springs,Kansas City Royals,0.222,0.226,0.112,0.201,lineup,1.0,0.198,22.7,5.14,5.03,4.51,5.5,120,-154,0.298,0.428,-0.13,-0.344,0.157,4,16,1,0,-1.14,-1.03,-0.51,-1.0,0.649
2026-04-30,823471,605288,Adrian Houser,Philadelphia Phillies,0.113,0.113,0.096,0.185,lineup,1.0,0.114,24.8,2.6,2.69,2.84,3.5,-108,-118,0.316,0.49,-0.174,-0.391,0.264,,,0,,,,,,
2026-04-30,824848,663567,Peter Lambert,Baltimore Orioles,0.288,0.288,0.21,0.238,lineup,1.0,0.349,22.0,6.62,6.71,7.68,,,,,,,,,3,18,1,,-3.62,-3.71,-4.68,,
2026-04-30,823472,650911,Cristopher Sánchez,San Francisco Giants,0.278,0.244,0.158,0.219,lineup,1.0,0.272,26.2,6.08,6.72,7.13,,,,,,,,,7,27,1,,0.92,0.28,-0.13,,
2026-04-30,823634,642547,Freddy Peralta,Washington Nationals,0.256,0.23,0.143,0.211,lineup,1.02,0.246,23.8,5.65,5.75,5.85,,,,,,,,,6,25,1,,0.35,0.25,0.15,,
2026-04-30,823391,694973,Paul Skenes,St. Louis Cardinals,0.293,0.317,0.121,0.224,lineup,1.0,0.278,19.7,6.97,5.82,5.49,,,,,,,,,9,23,1,,2.03,3.18,3.51,,
2026-04-30,823795,647336,Michael Soroka,Milwaukee Brewers,0.265,0.224,0.115,0.215,lineup,1.0,0.23,22.9,5.72,5.27,5.27,,,,,,,,,2,21,1,,-3.72,-3.27,-3.27,,
2026-04-30,824929,693821,Bryce Elder,Detroit Tigers,0.209,0.184,0.099,0.235,lineup,1.0,0.206,24.7,4.58,4.73,5.09,,,,,,,,,5,26,1,,0.42,0.27,-0.09,,
2026-04-30,823472,657277,Logan Webb,Philadelphia Phillies,0.202,0.19,0.094,0.215,lineup,1.0,0.184,27.1,4.54,5.13,4.98,,,,,,,,,6,27,1,,1.46,0.87,1.02,,
2026-04-30,823634,571945,Miles Mikolas,New York Mets,0.15,0.169,0.087,0.244,lineup,1.02,0.179,27.4,3.62,4.05,4.9,,,,,,,,,3,16,1,,-0.62,-1.05,-1.9,,
2026-04-30,825016,702070,Noah Cameron,Athletics,0.207,0.2,0.109,0.224,lineup,1.0,0.207,22.7,4.7,4.8,4.69,,,,,,,,,5,18,1,,0.3,0.2,0.31,,
2026-04-30,823471,641835,Tim Mayza,San Francisco Giants,0.242,0.0,0.099,0.194,lineup,1.0,0.195,23.0,5.58,5.41,4.48,,,,,,,,,,,0,,,,,,
2026-04-30,824929,664285,Framber Valdez,Atlanta Braves,0.185,0.177,0.088,0.214,lineup,1.0,0.169,24.7,4.18,3.95,4.19,,,,,,,,,8,25,1,,3.82,4.05,3.81,,
2026-04-30,823391,690928,Hunter Dobbins,Pittsburgh Pirates,0.211,0.211,0.0,0.233,lineup,1.0,0.218,19.0,4.84,4.32,4.14,,,,,,,,,4,19,1,,-0.84,-0.32,-0.14,,
2026-04-30,824850,621121,Lance McCullers Jr.,Baltimore Orioles,0.223,0.182,0.103,0.244,lineup,1.0,0.222,18.2,4.75,3.99,4.05,,,,,,,,,1,3,1,,-3.75,-2.99,-3.05,,
2026-04-30,824524,671096,Andrew Abbott,Colorado Rockies,0.152,0.136,0.097,0.253,lineup,1.0,0.181,22.3,3.35,3.63,4.04,,,,,,,,,5,25,1,,1.65,1.37,0.96,,
2026-04-30,823795,605540,Brandon Woodruff,Arizona Diamondbacks,0.207,0.186,0.117,0.208,lineup,1.0,0.194,20.3,4.56,3.87,3.92,,,,,,,,,2,6,1,,-2.56,-1.87,-1.92,,
2026-04-30,824524,547179,Michael Lorenzen,Cincinnati Reds,0.146,0.157,0.094,0.225,lineup,1.0,0.162,23.3,3.46,3.8,3.77,,,,,,,,,5,23,1,,1.54,1.2,1.23,,
2026-04-30,824848,605135,Chris Bassitt,Houston Astros,0.126,0.127,0.089,0.184,lineup,1.0,0.117,22.3,2.91,2.48,2.6,,,,,,,,,7,27,1,,4.09,4.52,4.4,,
