date,game_pk,pitcher_id,pitcher,opp,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-01,824686,607067,Colin Rea,Arizona Diamondbacks,0.205,0.162,0.102,0.218,lineup,1.0,0.186,32.5,4.32,5.91,6.05,4.5,130,bovada,-150,betmgm,7,0.721,0.423,0.298,0.659,-0.535
2026-05-01,822744,694819,Jacob Misiorowski,Washington Nationals,0.372,0.342,0.188,0.221,team,1.0,0.357,23.1,8.28,8.17,8.23,6.5,-132,betonlineag,115,betmgm,7,0.714,0.538,0.176,0.254,-0.384
2026-05-01,822744,663623,Jake Irvin,Milwaukee Brewers,0.264,0.248,0.123,0.208,team,1.0,0.233,21.6,5.92,5.15,5.04,4.5,100,fanduel,163,betrivers,7,0.567,0.472,0.094,0.133,0.14
2026-05-01,824287,669022,MacKenzie Gore,Detroit Tigers,0.316,0.315,0.131,0.216,team,1.0,0.283,22.2,7.26,6.71,6.27,5.5,270,betrivers,105,draftkings,7,0.597,0.534,0.063,1.21,-0.174
2026-05-01,824772,681347,Mike Burrows,Boston Red Sox,0.231,0.231,0.135,0.222,team,0.96,0.229,23.7,5.31,5.38,5.43,5.5,130,bovada,118,betrivers,7,0.459,0.417,0.042,0.055,0.18
2026-05-01,823557,701542,Will Warren,Baltimore Orioles,0.287,0.309,0.098,0.242,team,1.0,0.278,21.7,6.8,6.89,6.04,5.5,143,betrivers,115,draftkings,7,0.561,0.56,0.001,0.363,-0.056
2026-05-01,823877,691587,Eury Pérez,Philadelphia Phillies,0.243,0.229,0.146,0.212,team,1.0,0.239,22.3,5.46,4.98,5.35,5.5,105,bovada,155,betrivers,7,0.444,0.474,-0.03,-0.089,0.417
2026-05-01,823389,656605,Mitch Keller,Cincinnati Reds,0.182,0.19,0.104,0.244,team,1.0,0.208,23.0,4.26,4.62,4.78,4.5,310,betrivers,115,betmgm,7,0.52,0.551,-0.031,1.13,0.033
2026-05-01,822990,592662,Robbie Ray,Tampa Bay Rays,0.259,0.272,0.137,0.191,team,1.0,0.225,22.6,6.08,5.07,5.09,5.5,124,fanduel,285,betrivers,7,0.399,0.431,-0.032,-0.106,1.314
2026-05-01,824287,656427,Jack Flaherty,Texas Rangers,0.23,0.257,0.098,0.244,team,1.0,0.242,20.3,5.54,5.28,4.9,5.5,126,fanduel,128,betrivers,7,0.366,0.431,-0.064,-0.172,0.445
2026-05-01,822990,663556,Shane McClanahan,San Francisco Giants,0.248,0.248,0.12,0.219,team,1.0,0.237,20.2,5.69,4.87,4.79,5.5,116,draftkings,-135,bovada,7,0.348,0.443,-0.095,-0.249,0.136
2026-05-01,823877,554430,Zack Wheeler,Miami Marlins,0.3,0.3,0.0,0.215,team,1.0,0.286,20.0,6.9,5.73,5.73,6.5,200,betrivers,-131,draftkings,7,0.35,0.461,-0.111,0.049,0.147
2026-05-01,823389,663903,Brady Singer,Pittsburgh Pirates,0.142,0.123,0.097,0.243,team,1.0,0.166,22.5,3.09,3.26,3.73,4.5,113,betonlineag,-124,betrivers,7,0.319,0.48,-0.161,-0.321,0.231
2026-05-01,824686,668678,Zac Gallen,Chicago Cubs,0.142,0.149,0.081,0.206,lineup,1.0,0.137,20.1,3.32,2.67,2.74,4.5,255,betrivers,-135,betmgm,7,0.143,0.445,-0.302,-0.491,0.491
2026-05-01,823146,666142,Cole Ragans,Seattle Mariners,0.287,0.298,0.144,0.237,team,1.03,0.313,19.0,6.7,5.84,5.95,,,,,,0,,,,,
2026-05-01,823066,686218,Emmet Sheehan,St. Louis Cardinals,0.255,0.255,0.154,0.219,team,1.0,0.264,22.0,5.85,5.46,5.81,,,,,,0,,,,,
2026-05-01,824041,700712,Walbert Urena,New York Mets,0.217,0.244,0.115,0.212,team,1.0,0.214,27.0,5.24,5.8,5.77,,,,,,0,,,,,
2026-05-01,825012,676282,Joey Cantillo,Athletics,0.272,0.271,0.117,0.229,team,1.0,0.262,21.1,6.25,5.83,5.51,,,,,,0,,,,,
2026-05-01,823309,702273,Noah Schultz,San Diego Padres,0.286,0.286,0.105,0.221,team,1.02,0.258,21.0,6.57,5.89,5.41,,,,,,0,,,,,
2026-05-01,824366,656550,Grant Holmes,Colorado Rockies,0.185,0.186,0.143,0.251,team,0.92,0.224,22.5,4.27,4.67,5.06,,,,,,0,,,,,
2026-05-01,823146,693433,Bryan Woo,Kansas City Royals,0.191,0.153,0.124,0.221,team,1.03,0.201,23.5,4.05,4.06,4.73,,,,,,0,,,,,
2026-05-01,825012,669372,J.T. Ginn,Cleveland Guardians,0.19,0.208,0.118,0.21,team,1.0,0.195,22.2,4.54,4.09,4.33,,,,,,0,,,,,
2026-05-01,823713,571578,Patrick Corbin,Minnesota Twins,0.203,0.203,0.109,0.226,team,1.01,0.209,19.8,4.66,4.03,4.14,,,,,,0,,,,,
2026-05-01,823309,608566,Germán Márquez,Chicago White Sox,0.162,0.162,0.106,0.244,team,1.02,0.197,21.0,3.72,3.69,4.13,,,,,,0,,,,,
2026-05-01,823066,669461,Matthew Liberatore,Los Angeles Dodgers,0.141,0.153,0.087,0.208,team,1.0,0.142,22.4,3.35,3.02,3.19,,,,,,0,,,,,
2026-05-01,823713,680573,Simeon Woods Richardson,Toronto Blue Jays,0.11,0.112,0.075,0.182,team,1.01,0.101,22.9,2.55,2.06,2.32,,,,,,0,,,,,
2026-05-01,824366,500779,Jose Quintana,Atlanta Braves,0.11,0.11,0.089,0.197,team,0.92,0.107,20.5,2.52,1.97,2.18,,,,,,0,,,,,
2026-05-01,824041,681035,Christian Scott,Los Angeles Angels,0.1,0.1,0.0,0.252,team,1.0,0.112,10.0,2.3,1.12,1.12,,,,,,0,,,,,
