date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,over_hit,over_pnl,under_pnl
2026-05-02,822988,2026-05-02T22:10:00Z,643377,Griffin Jax,San Francisco Giants,True,0.231,0.25,0.147,0.218,lineup,1.0,0.248,34.4,5.48,8.01,8.52,2.5,-135,bovada,112,betonlineag,4,0.991,0.546,0.445,0.725,-0.981,2.5,-135,112,0.991,0.546,0.445,0,-1.0,1.12,2,10,1,-3.48,-6.01,-6.52,0,-1.0,1.12
2026-05-02,823715,2026-05-02T18:10:00Z,656302,Dylan Cease,Minnesota Twins,False,0.351,0.327,0.173,0.241,lineup,1.01,0.369,21.0,7.86,7.27,7.75,6.5,110,fanduel,300,betrivers,7,0.655,0.472,0.183,0.376,0.38,6.5,110,300,0.687,0.472,0.215,1,1.1,-1.0,7,28,1,-0.86,-0.27,-0.75,1,1.1,-1.0
2026-05-02,823308,2026-05-03T00:40:00Z,680732,Sean Burke,San Diego Padres,False,0.18,0.149,0.087,0.218,team,1.02,0.167,28.6,3.86,4.67,4.8,3.5,-130,bovada,265,betrivers,7,0.705,0.563,0.142,0.247,0.077,,,,,,,,,,8,23,1,4.14,3.33,3.2,1,0.769,-1.0
2026-05-02,824771,2026-05-02T20:10:00Z,681293,Spencer Arrighetti,Boston Red Sox,False,0.269,0.269,0.13,0.215,lineup,0.96,0.242,26.0,6.19,6.82,6.29,5.5,225,betrivers,-110,betmgm,7,0.599,0.471,0.128,0.947,-0.235,5.5,225,-110,0.619,0.471,0.148,0,-1.0,0.909,4,23,1,-2.19,-2.82,-2.29,0,-1.0,0.909
2026-05-02,824685,2026-05-02T18:20:00Z,684007,Shota Imanaga,Arizona Diamondbacks,True,0.289,0.297,0.161,0.214,lineup,1.0,0.285,20.3,6.72,5.85,5.78,4.5,121,draftkings,125,betmgm,7,0.684,0.563,0.121,0.512,-0.29,4.5,121,125,0.741,0.563,0.177,1,1.21,-1.0,5,26,1,-1.72,-0.85,-0.78,1,1.21,-1.0
2026-05-02,823144,2026-05-03T01:40:00Z,676106,Emerson Hancock,Kansas City Royals,True,0.242,0.204,0.121,0.219,team,1.03,0.231,22.2,5.22,4.92,5.14,4.5,115,betmgm,-125,bovada,7,0.584,0.466,0.118,0.255,-0.251,,,,,,,,,,14,27,1,8.78,9.08,8.86,1,1.15,-1.0
2026-05-02,822988,2026-05-02T22:10:00Z,694738,Landen Roupp,Tampa Bay Rays,False,0.27,0.259,0.107,0.219,lineup,1.0,0.239,23.0,6.11,5.19,5.49,4.5,-121,betrivers,110,fanduel,7,0.641,0.54,0.101,0.171,-0.247,4.5,-121,110,0.523,0.54,-0.016,1,0.826,-1.0,6,22,1,-0.11,0.81,0.51,1,0.826,-1.0
2026-05-02,822746,2026-05-02T20:05:00Z,690986,Kyle Harrison,Washington Nationals,False,0.312,0.312,0.15,0.23,lineup,1.0,0.313,19.2,7.19,6.02,6.0,5.5,106,betrivers,-125,draftkings,7,0.554,0.459,0.095,0.142,-0.198,5.5,106,-125,0.537,0.459,0.078,0,-1.0,0.8,5,24,1,-2.19,-1.02,-1.0,0,-1.0,0.8
2026-05-02,824284,2026-05-02T23:15:00Z,672456,Keider Montero,Texas Rangers,True,0.215,0.215,0.093,0.245,team,1.0,0.221,21.4,4.94,5.0,4.72,4.5,126,betonlineag,300,betrivers,7,0.51,0.421,0.089,0.152,0.961,4.5,126,300,0.51,0.421,0.089,0,-1.0,3.0,2,26,1,-2.94,-3.0,-2.72,0,-1.0,3.0
2026-05-02,823067,2026-05-02T23:15:00Z,808963,Roki Sasaki,St. Louis Cardinals,False,0.204,0.204,0.139,0.222,team,1.0,0.224,21.6,4.69,4.33,4.84,4.5,106,fanduel,-124,draftkings,7,0.53,0.459,0.071,0.093,-0.152,4.5,106,-124,0.53,0.459,0.071,0,-1.0,0.806,4,26,1,-0.69,-0.33,-0.84,0,-1.0,0.806
2026-05-02,824042,2026-05-03T01:38:00Z,690997,Nolan McLean,Los Angeles Angels,False,0.333,0.327,0.121,0.257,team,1.0,0.34,22.5,7.61,8.51,7.66,7.5,120,betmgm,230,betrivers,7,0.499,0.439,0.06,0.097,0.654,,,,,,,,,,6,18,1,-1.61,-2.51,-1.66,0,-1.0,2.3
2026-05-02,823144,2026-05-03T01:40:00Z,607625,Seth Lugo,Seattle Mariners,False,0.208,0.224,0.101,0.24,team,1.03,0.23,24.9,4.93,5.7,5.72,5.5,195,betrivers,-128,draftkings,7,0.508,0.459,0.049,0.498,-0.123,,,,,,,,,,6,25,1,1.07,0.3,0.28,1,1.95,-1.0
2026-05-02,823554,2026-05-02T17:35:00Z,677960,Ryan Weathers,Baltimore Orioles,True,0.289,0.289,0.127,0.242,lineup,1.0,0.296,22.1,6.66,7.0,6.56,6.5,235,betrivers,-146,draftkings,7,0.483,0.437,0.046,0.619,-0.129,6.5,235,-146,0.536,0.437,0.1,0,-1.0,0.685,5,21,1,-1.66,-2.0,-1.56,0,-1.0,0.685
2026-05-02,824284,2026-05-02T23:15:00Z,677958,Kumar Rocker,Detroit Tigers,False,0.191,0.191,0.118,0.214,team,1.0,0.195,23.0,4.4,4.19,4.49,4.5,310,betrivers,114,draftkings,7,0.465,0.425,0.04,0.908,0.144,4.5,310,114,0.465,0.425,0.04,0,-1.0,1.14,2,12,1,-2.4,-2.19,-2.49,0,-1.0,1.14
2026-05-02,823308,2026-05-03T00:40:00Z,650633,Michael King,Chicago White Sox,True,0.254,0.246,0.123,0.24,team,1.02,0.269,22.5,5.76,6.02,6.05,5.5,-109,betrivers,110,betmgm,7,0.563,0.524,0.039,0.08,-0.082,,,,,,,,,,5,25,1,-0.76,-1.02,-1.05,0,-1.0,1.1
2026-05-02,823876,2026-05-02T20:10:00Z,676974,Max Meyer,Philadelphia Phillies,True,0.25,0.257,0.144,0.199,lineup,1.0,0.232,21.9,5.81,5.24,5.09,4.5,132,betrivers,121,draftkings,7,0.575,0.561,0.014,0.333,-0.06,4.5,132,121,0.635,0.561,0.075,1,1.32,-1.0,7,22,1,1.19,1.76,1.91,1,1.32,-1.0
2026-05-02,823388,2026-05-02T20:05:00Z,669387,Carmen Mlodzinski,Cincinnati Reds,True,0.238,0.243,0.087,0.21,lineup,1.0,0.201,23.4,5.52,6.09,4.69,4.5,180,betrivers,-108,fanduel,7,0.504,0.503,0.001,0.411,-0.045,4.5,180,-108,0.638,0.503,0.135,1,1.8,-1.0,10,28,1,4.48,3.91,5.31,1,1.8,-1.0
2026-05-02,823876,2026-05-02T20:10:00Z,691725,Andrew Painter,Miami Marlins,False,0.194,0.157,0.099,0.202,lineup,1.0,0.166,25.1,4.13,4.36,4.16,4.5,125,draftkings,140,betrivers,7,0.402,0.427,-0.025,-0.095,0.435,4.5,125,140,0.464,0.427,0.037,1,1.25,-1.0,7,25,1,2.87,2.64,2.84,1,1.25,-1.0
2026-05-02,823388,2026-05-02T20:05:00Z,695076,Rhett Lowder,Pittsburgh Pirates,False,0.179,0.167,0.089,0.233,lineup,1.0,0.18,23.6,4.0,4.35,4.24,4.5,120,betmgm,-130,fanduel,7,0.418,0.444,-0.026,-0.08,0.029,4.5,120,-130,0.439,0.444,-0.004,0,-1.0,0.769,1,13,1,-3.0,-3.35,-3.24,0,-1.0,0.769
2026-05-02,825014,2026-05-02T20:05:00Z,677944,Slade Cecconi,Athletics,False,0.18,0.174,0.101,0.199,lineup,1.0,0.163,23.1,4.08,4.12,3.77,3.5,-135,bovada,265,betrivers,7,0.52,0.558,-0.038,-0.095,0.752,3.5,-135,265,0.622,0.558,0.064,0,-1.0,2.65,3,25,1,-1.08,-1.12,-0.77,0,-1.0,2.65
2026-05-02,824685,2026-05-02T18:20:00Z,669194,Ryne Nelson,Chicago Cubs,False,0.219,0.239,0.125,0.221,lineup,1.0,0.229,18.0,5.21,3.76,4.12,4.5,115,draftkings,170,betrivers,7,0.395,0.463,-0.068,-0.152,0.635,4.5,115,170,0.36,0.463,-0.103,0,-1.0,1.7,4,23,1,-1.21,0.24,-0.12,0,-1.0,1.7
2026-05-02,822746,2026-05-02T20:05:00Z,656492,Foster Griffin,Milwaukee Brewers,True,0.219,0.216,0.118,0.203,lineup,1.0,0.201,23.0,5.0,4.58,4.62,4.5,155,betrivers,125,bovada,7,0.49,0.566,-0.076,0.25,0.147,4.5,155,125,0.503,0.566,-0.063,0,-1.0,1.25,3,26,1,-2.0,-1.58,-1.62,0,-1.0,1.25
2026-05-02,823715,2026-05-02T18:10:00Z,687570,Connor Prielipp,Toronto Blue Jays,True,0.261,0.261,0.0,0.196,lineup,1.01,0.229,15.3,6.0,3.17,3.52,3.5,270,betrivers,132,draftkings,7,0.467,0.592,-0.125,0.729,0.236,3.5,270,132,0.643,0.592,0.051,1,2.7,-1.0,4,20,1,-2.0,0.83,0.48,1,2.7,-1.0
2026-05-02,824042,2026-05-03T01:38:00Z,672282,Reid Detmers,New York Mets,True,0.255,0.225,0.14,0.211,team,1.0,0.238,23.7,5.59,5.4,5.64,6.5,110,bovada,140,betrivers,7,0.336,0.463,-0.128,-0.295,0.594,,,,,,,,,,8,27,1,2.41,2.6,2.36,1,1.1,-1.0
2026-05-02,823554,2026-05-02T17:35:00Z,680694,Kyle Bradish,New York Yankees,False,0.216,0.2,0.111,0.237,lineup,1.0,0.224,22.3,4.82,4.89,4.99,5.5,-118,betonlineag,105,betmgm,7,0.383,0.522,-0.139,-0.293,0.266,5.5,-118,105,0.462,0.522,-0.06,0,-1.0,1.05,4,21,1,-0.82,-0.89,-0.99,0,-1.0,1.05
2026-05-02,823067,2026-05-02T23:15:00Z,700241,Michael McGreevy,Los Angeles Dodgers,True,0.165,0.151,0.072,0.207,team,1.0,0.141,21.2,3.67,3.11,2.98,3.5,-105,betmgm,190,betrivers,7,0.349,0.51,-0.161,-0.319,0.889,3.5,-105,190,0.349,0.51,-0.162,0,-1.0,1.9,3,20,1,-0.67,-0.11,0.02,0,-1.0,1.9
2026-05-02,824365,2026-05-03T00:10:00Z,519242,Chris Sale,Colorado Rockies,False,0.277,0.281,0.127,0.248,team,0.92,0.272,22.8,6.41,7.0,6.2,7.5,106,fanduel,130,betrivers,6,0.284,0.459,-0.175,-0.416,0.648,,,,,,,,,,11,27,1,4.59,4.0,4.8,1,1.06,-1.0
2026-05-02,824771,2026-05-02T20:10:00Z,813349,Connelly Early,Houston Astros,True,0.214,0.2,0.095,0.193,lineup,0.96,0.165,21.9,4.79,3.97,3.61,4.5,190,betrivers,-115,betmgm,7,0.296,0.48,-0.184,-0.142,0.316,4.5,190,-115,0.306,0.48,-0.173,0,-1.0,0.87,3,20,1,-1.79,-0.97,-0.61,0,-1.0,0.87
2026-05-02,825014,2026-05-02T20:05:00Z,682052,Jacob Lopez,Cleveland Guardians,True,0.149,0.149,0.086,0.19,lineup,1.0,0.132,23.6,3.42,3.28,3.11,4.5,110,fanduel,-125,betmgm,7,0.204,0.449,-0.245,-0.572,0.433,4.5,110,-125,0.262,0.449,-0.187,1,1.1,-1.0,5,25,1,1.58,1.72,1.89,1,1.1,-1.0
