date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-03,824687,2026-05-03T18:20:00Z,571510,Matthew Boyd,Arizona Diamondbacks,True,0.333,0.333,0.173,0.201,lineup,1.0,0.299,19.5,7.67,6.37,5.84,"[{""id"": 606466, ""name"": ""Ketel Marte"", ""slot"": 1}, {""id"": 672695, ""name"": ""Geraldo Perdomo"", ""slot"": 2}, {""id"": 682998, ""name"": ""Corbin Carroll"", ""slot"": 3}, {""id"": 545121, ""name"": ""Ildemaro Vargas"", ""slot"": 4}, {""id"": 571448, ""name"": ""Nolan Arenado"", ""slot"": 5}, {""id"": 666971, ""name"": ""Lourdes Gurriel Jr."", ""slot"": 6}, {""id"": 672515, ""name"": ""Gabriel Moreno"", ""slot"": 7}, {""id"": 699912, ""name"": ""Jose Fernandez"", ""slot"": 8}, {""id"": 678489, ""name"": ""Jorge Barrosa"", ""slot"": 9}]",4.5,118,betrivers,125,betmgm,6,0.692,0.45,0.242,0.509,-0.308
2026-05-03,823145,2026-05-03T20:10:00Z,663460,Kris Bubic,Seattle Mariners,False,0.255,0.27,0.14,0.24,team,1.03,0.292,22.9,6.01,6.39,6.68,[],5.5,101,draftkings,-120,bovada,6,0.657,0.479,0.178,0.321,-0.372
2026-05-03,823555,2026-05-03T17:35:00Z,694346,Trey Gibson,New York Yankees,False,0.0,0.0,0.0,0.23,lineup,1.0,0.23,23.0,0.0,5.43,5.29,"[{""id"": 663757, ""name"": ""Trent Grisham"", ""slot"": 1}, {""id"": 700250, ""name"": ""Ben Rice"", ""slot"": 2}, {""id"": 592450, ""name"": ""Aaron Judge"", ""slot"": 3}, {""id"": 641355, ""name"": ""Cody Bellinger"", ""slot"": 4}, {""id"": 665862, ""name"": ""Jazz Chisholm Jr."", ""slot"": 5}, {""id"": 691176, ""name"": ""Jasson Domínguez"", ""slot"": 6}, {""id"": 669224, ""name"": ""Austin Wells"", ""slot"": 7}, {""id"": 641857, ""name"": ""Ryan McMahon"", ""slot"": 8}, {""id"": 676609, ""name"": ""José Caballero"", ""slot"": 9}]",4.5,123,draftkings,-145,bovada,4,0.609,0.433,0.176,0.358,-0.339
2026-05-03,823387,2026-05-03T17:35:00Z,695505,Chase Burns,Pittsburgh Pirates,False,0.285,0.271,0.169,0.251,lineup,1.0,0.331,23.1,6.42,6.77,7.67,"[{""id"": 665833, ""name"": ""Oneil Cruz"", ""slot"": 1}, {""id"": 664040, ""name"": ""Brandon Lowe"", ""slot"": 2}, {""id"": 668804, ""name"": ""Bryan Reynolds"", ""slot"": 3}, {""id"": 656811, ""name"": ""Ryan O'Hearn"", ""slot"": 4}, {""id"": 693304, ""name"": ""Nick Gonzales"", ""slot"": 5}, {""id"": 542303, ""name"": ""Marcell Ozuna"", ""slot"": 6}, {""id"": 687462, ""name"": ""Spencer Horwitz"", ""slot"": 7}, {""id"": 804606, ""name"": ""Konnor Griffin"", ""slot"": 8}, {""id"": 663698, ""name"": ""Joey Bart"", ""slot"": 9}]",6.5,-105,betrivers,105,bovada,7,0.644,0.518,0.126,0.258,-0.27
2026-05-03,823307,2026-05-03T20:10:00Z,641743,Anthony Kay,San Diego Padres,False,0.123,0.157,0.083,0.221,team,1.02,0.146,27.2,3.14,3.65,3.96,[],3.5,230,betrivers,-135,betmgm,7,0.56,0.437,0.123,0.846,-0.233
2026-05-03,823387,2026-05-03T17:35:00Z,677952,Braxton Ashcraft,Cincinnati Reds,True,0.283,0.319,0.146,0.224,lineup,1.0,0.292,22.8,6.83,7.45,6.67,"[{""id"": 670770, ""name"": ""TJ Friedl"", ""slot"": 1}, {""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 2}, {""id"": 682829, ""name"": ""Elly De La Cruz"", ""slot"": 3}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 4}, {""id"": 663993, ""name"": ""Nathaniel Lowe"", ""slot"": 5}, {""id"": 668715, ""name"": ""Spencer Steer"", ""slot"": 6}, {""id"": 666181, ""name"": ""Will Benson"", ""slot"": 7}, {""id"": 624431, ""name"": ""Jose Trevino"", ""slot"": 8}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 9}]",5.5,-127,betrivers,105,draftkings,7,0.655,0.535,0.12,0.171,-0.294
2026-05-03,823875,2026-05-03T17:40:00Z,663978,Chris Paddack,Philadelphia Phillies,True,0.203,0.208,0.119,0.2,lineup,1.0,0.191,23.8,4.71,4.69,4.56,"[{""id"": 607208, ""name"": ""Trea Turner"", ""slot"": 1}, {""id"": 656941, ""name"": ""Kyle Schwarber"", ""slot"": 2}, {""id"": 547180, ""name"": ""Bryce Harper"", ""slot"": 3}, {""id"": 664761, ""name"": ""Alec Bohm"", ""slot"": 4}, {""id"": 669016, ""name"": ""Brandon Marsh"", ""slot"": 5}, {""id"": 592663, ""name"": ""J.T. Realmuto"", ""slot"": 6}, {""id"": 681082, ""name"": ""Bryson Stott"", ""slot"": 7}, {""id"": 694025, ""name"": ""Felix Reyes"", ""slot"": 8}, {""id"": 702222, ""name"": ""Justin Crawford"", ""slot"": 9}]",3.5,295,betrivers,124,draftkings,7,0.668,0.569,0.099,1.637,-0.255
2026-05-03,824043,2026-05-03T20:07:00Z,686799,Jack Kochanowicz,New York Mets,True,0.163,0.168,0.104,0.214,team,1.0,0.17,24.7,3.8,3.88,4.19,[],3.5,-114,fanduel,-105,betmgm,6,0.603,0.507,0.096,0.131,-0.224
2026-05-03,823875,2026-05-03T17:40:00Z,666200,Jesús Luzardo,Miami Marlins,False,0.283,0.283,0.156,0.227,lineup,1.0,0.294,24.1,6.51,6.63,7.08,"[{""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 1}, {""id"": 682663, ""name"": ""Agustín Ramírez"", ""slot"": 2}, {""id"": 669065, ""name"": ""Kyle Stowers"", ""slot"": 3}, {""id"": 681393, ""name"": ""Connor Norby"", ""slot"": 4}, {""id"": 669364, ""name"": ""Xavier Edwards"", ""slot"": 5}, {""id"": 666624, ""name"": ""Christopher Morel"", ""slot"": 6}, {""id"": 677870, ""name"": ""Leo Jiménez"", ""slot"": 7}, {""id"": 665923, ""name"": ""Esteury Ruiz"", ""slot"": 8}, {""id"": 691594, ""name"": ""Javier Sanoja"", ""slot"": 9}]",6.5,105,betmgm,-113,betrivers,7,0.562,0.486,0.076,0.153,-0.175
2026-05-03,825013,2026-05-03T20:05:00Z,800048,Parker Messick,Athletics,False,0.281,0.287,0.123,0.223,team,1.0,0.266,22.7,6.52,6.38,6.05,[],5.5,-111,draftkings,145,betmgm,6,0.562,0.504,0.058,0.068,0.073
