date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-03,824687,2026-05-03T18:20:00Z,571510,Matthew Boyd,Arizona Diamondbacks,True,0.333,0.333,0.173,0.221,team,1.0,0.328,19.5,7.67,6.37,6.4,4.5,118,betrivers,125,betmgm,6,0.765,0.45,0.316,0.668,-0.472
2026-05-03,823387,2026-05-03T17:35:00Z,677952,Braxton Ashcraft,Cincinnati Reds,True,0.283,0.319,0.146,0.247,team,1.0,0.321,22.8,6.83,7.45,7.34,5.5,-127,betrivers,105,draftkings,7,0.741,0.535,0.206,0.324,-0.469
2026-05-03,823555,2026-05-03T17:35:00Z,694346,Trey Gibson,New York Yankees,False,0.0,0.0,0.0,0.236,team,1.0,0.236,23.0,0.0,5.43,5.43,4.5,123,draftkings,-145,bovada,4,0.632,0.433,0.199,0.409,-0.378
2026-05-03,823145,2026-05-03T20:10:00Z,663460,Kris Bubic,Seattle Mariners,False,0.255,0.27,0.14,0.24,team,1.03,0.292,22.9,6.01,6.39,6.68,5.5,101,draftkings,-120,bovada,6,0.657,0.479,0.178,0.321,-0.372
2026-05-03,823875,2026-05-03T17:40:00Z,663978,Chris Paddack,Philadelphia Phillies,True,0.203,0.208,0.119,0.216,team,1.0,0.206,23.8,4.71,4.69,4.92,3.5,295,betrivers,124,draftkings,7,0.723,0.569,0.154,1.858,-0.381
2026-05-03,823307,2026-05-03T20:10:00Z,641743,Anthony Kay,San Diego Padres,False,0.123,0.157,0.083,0.221,team,1.02,0.146,27.2,3.14,3.65,3.96,3.5,120,fanduel,-125,betmgm,6,0.56,0.445,0.114,0.231,-0.207
2026-05-03,824043,2026-05-03T20:07:00Z,686799,Jack Kochanowicz,New York Mets,True,0.163,0.168,0.104,0.214,team,1.0,0.17,24.7,3.8,3.88,4.19,3.5,-114,fanduel,-105,betmgm,6,0.603,0.507,0.096,0.131,-0.224
2026-05-03,823387,2026-05-03T17:35:00Z,695505,Chase Burns,Pittsburgh Pirates,False,0.285,0.271,0.169,0.236,team,1.0,0.312,23.1,6.42,6.77,7.21,6.5,-105,betrivers,105,bovada,7,0.581,0.518,0.064,0.135,-0.142
2026-05-03,825013,2026-05-03T20:05:00Z,800048,Parker Messick,Athletics,False,0.281,0.287,0.123,0.223,team,1.0,0.266,22.7,6.52,6.38,6.05,5.5,-111,draftkings,145,betmgm,6,0.562,0.504,0.058,0.068,0.073
2026-05-03,823875,2026-05-03T17:40:00Z,666200,Jesús Luzardo,Miami Marlins,False,0.283,0.283,0.156,0.219,team,1.0,0.283,24.1,6.51,6.63,6.82,6.5,105,betmgm,-113,betrivers,7,0.523,0.486,0.037,0.071,-0.1
2026-05-03,822987,2026-05-03T17:40:00Z,571927,Steven Matz,San Francisco Giants,True,0.213,0.236,0.114,0.22,team,1.0,0.217,21.2,5.1,4.6,4.6,4.5,110,draftkings,165,betrivers,7,0.487,0.462,0.024,0.022,0.361
2026-05-03,824043,2026-05-03T20:07:00Z,605280,Clay Holmes,Los Angeles Angels,False,0.176,0.168,0.105,0.254,team,1.0,0.208,23.7,3.98,4.63,4.94,4.5,-135,betmgm,111,draftkings,6,0.549,0.552,-0.003,-0.044,-0.048
2026-05-03,824285,2026-05-03T23:20:00Z,683004,Jack Leiter,Detroit Tigers,False,0.239,0.219,0.141,0.213,team,1.0,0.234,22.9,5.32,5.02,5.36,5.5,123,draftkings,130,bovada,6,0.448,0.457,-0.01,-0.002,0.27
2026-05-03,823145,2026-05-03T20:10:00Z,622491,Luis Castillo,Kansas City Royals,True,0.194,0.168,0.121,0.226,team,1.03,0.21,22.4,4.22,4.14,4.7,4.5,-120,betmgm,100,draftkings,6,0.506,0.524,-0.018,-0.072,-0.012
2026-05-03,824364,2026-05-03T19:10:00Z,675911,Spencer Strider,Colorado Rockies,False,0.0,0.0,0.0,0.251,team,0.92,0.231,23.0,0.0,5.78,5.32,5.5,116,fanduel,-120,betmgm,6,0.44,0.462,-0.022,-0.05,0.027
2026-05-03,824364,2026-05-03T19:10:00Z,607536,Kyle Freeland,Atlanta Braves,True,0.195,0.195,0.122,0.196,team,0.92,0.168,21.8,4.49,3.7,3.66,3.5,-125,bovada,113,draftkings,6,0.497,0.533,-0.036,-0.105,0.071
2026-05-03,823555,2026-05-03T17:35:00Z,608331,Max Fried,Baltimore Orioles,True,0.209,0.209,0.102,0.245,team,1.0,0.224,25.5,4.81,5.8,5.7,5.5,143,betrivers,115,betmgm,7,0.506,0.554,-0.048,0.229,0.063
