date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml
2026-05-14,823383,2026-05-14T16:35:00Z,801403,Chase Dollander,Pittsburgh Pirates,False,0.261,0.24,0.139,0.23,team,1.0,0.264,64.0,5.81,16.5,16.92,6.08,[],5.5,105,bovada,150,betrivers,6,0.999,0.475,0.524,1.049,-0.998,0.766,0.291,0.525,0.05
2026-05-14,823383,2026-05-14T16:35:00Z,682254,Mason Montgomery,Colorado Rockies,True,0.343,0.286,0.182,0.256,team,1.0,0.379,21.5,7.37,7.84,8.15,3.32,[],1.5,-114,betonlineag,-114,betonlineag,1,0.997,0.5,0.497,0.872,-0.995,0.726,0.226,0.54,0.04
2026-05-14,824926,2026-05-14T23:15:00Z,676962,Ben Brown,Atlanta Braves,False,0.237,0.231,0.119,0.205,team,1.0,0.212,73.6,5.39,15.68,15.64,4.81,[],3.5,155,betrivers,116,fanduel,6,1.0,0.546,0.454,1.55,-1.0,0.813,0.267,0.532,-0.014
2026-05-14,823789,2026-05-14T17:40:00Z,656288,Griffin Canning,Milwaukee Brewers,False,0.293,0.293,0.0,0.205,team,1.0,0.267,20.5,6.73,5.46,5.46,4.98,[],4.5,110,draftkings,-125,betmgm,6,0.637,0.476,0.161,0.337,-0.346,0.526,0.05,0.525,0.049
2026-05-14,824602,2026-05-14T23:40:00Z,641743,Anthony Kay,Kansas City Royals,True,0.153,0.174,0.083,0.22,team,1.0,0.159,25.0,3.72,3.96,3.97,7.23,[],3.5,116,fanduel,-137,draftkings,5,0.561,0.45,0.111,0.213,-0.241,0.513,0.063,0.548,0.098
2026-05-14,823950,2026-05-15T02:10:00Z,686218,Emmet Sheehan,San Francisco Giants,True,0.283,0.321,0.161,0.217,team,1.02,0.299,21.7,6.86,6.24,6.49,4.06,[],5.5,-115,betmgm,108,draftkings,5,0.63,0.524,0.106,0.178,-0.23,0.524,0.0,0.51,-0.014
2026-05-14,824196,2026-05-14T18:10:00Z,681347,Mike Burrows,Seattle Mariners,True,0.216,0.223,0.121,0.241,team,1.0,0.241,24.2,5.04,5.68,5.84,6.15,[],5.5,220,betrivers,-128,fanduel,6,0.528,0.445,0.083,0.691,-0.16,0.508,0.063,0.526,0.081
2026-05-14,824602,2026-05-14T23:40:00Z,663460,Kris Bubic,Chicago White Sox,False,0.251,0.202,0.128,0.245,team,1.0,0.259,23.5,5.32,5.94,6.11,5.04,[],5.5,100,bovada,-110,betmgm,5,0.571,0.49,0.081,0.143,-0.182,0.515,0.025,0.518,0.028
2026-05-14,823709,2026-05-14T17:40:00Z,805673,Zebby Matthews,Miami Marlins,True,0.0,0.0,0.0,0.216,team,1.01,0.218,23.0,0.0,4.97,5.02,3.65,[],4.5,-124,fanduel,107,draftkings,4,0.564,0.536,0.028,0.018,-0.097,0.513,-0.023,0.514,-0.022
2026-05-14,823950,2026-05-15T02:10:00Z,694738,Landen Roupp,Los Angeles Dodgers,False,0.288,0.306,0.11,0.205,team,1.02,0.248,21.9,6.79,5.89,5.44,4.44,[],5.5,110,fanduel,145,betmgm,5,0.46,0.454,0.006,-0.034,0.323,0.496,0.042,0.514,0.06
