date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,catcher_id,catcher_name,framing_factor,weather_condition,weather_temp,weather_wind,weather_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml
2026-05-16,824600,2026-05-16T23:10:00Z,663436,Davis Martin,Chicago Cubs,True,0.271,0.303,0.134,0.206,team,1.0,,,1.0,,,,1.0,0.253,24.2,6.53,6.29,6.12,5.24,[],4.5,132,fanduel,128,betonlineag,5,0.73,0.535,0.195,0.694,-0.385,0.543,0.008,0.527,-0.008
2026-05-16,825007,2026-05-17T01:40:00Z,686790,Trevor McDonald,Athletics,False,0.24,0.24,0.121,0.226,team,1.0,,,1.0,,,,1.0,0.24,25.0,5.52,6.02,6.0,6.32,[],4.5,-115,betmgm,106,fanduel,5,0.714,0.519,0.195,0.335,-0.412,0.54,0.021,0.534,0.015
2026-05-16,824924,2026-05-16T23:15:00Z,801139,Payton Tolle,Atlanta Braves,False,0.31,0.31,0.147,0.21,team,1.0,,,1.0,,,,1.0,0.283,21.8,7.14,6.31,6.15,4.59,[],4.5,-130,betmgm,122,draftkings,5,0.734,0.554,0.18,0.299,-0.41,0.544,-0.01,0.522,-0.032
2026-05-16,822737,2026-05-16T20:05:00Z,676917,Cade Cavalli,Baltimore Orioles,True,0.232,0.267,0.117,0.246,team,1.0,,,1.0,,,,1.0,0.262,21.9,5.65,5.89,5.74,2.11,[],4.5,260,betrivers,126,fanduel,6,0.679,0.568,0.111,1.443,-0.274,0.533,-0.035,0.496,-0.072
2026-05-16,823382,2026-05-16T20:05:00Z,650911,Cristopher Sánchez,Pittsburgh Pirates,False,0.284,0.255,0.16,0.229,team,1.0,,,1.0,,,,1.0,0.292,27.0,6.27,7.5,7.88,6.39,[],7.5,117,draftkings,128,betrivers,6,0.531,0.437,0.094,0.152,0.07,0.508,0.071,0.515,0.078
2026-05-16,824924,2026-05-16T23:15:00Z,693821,Bryce Elder,Boston Red Sox,True,0.244,0.238,0.118,0.226,team,1.0,,,1.0,,,,1.0,0.238,24.5,5.56,5.95,5.85,9.0,[],5.5,121,draftkings,115,betmgm,5,0.53,0.459,0.071,0.172,0.01,0.508,0.049,0.543,0.084
2026-05-16,823060,2026-05-16T18:15:00Z,702070,Noah Cameron,St. Louis Cardinals,False,0.195,0.183,0.113,0.215,team,1.0,,,1.0,,,,1.0,0.193,23.7,4.38,4.31,4.56,3.08,[],4.5,132,draftkings,120,betmgm,6,0.479,0.417,0.062,0.112,0.146,0.5,0.083,0.509,0.092
2026-05-16,823060,2026-05-16T18:15:00Z,681517,Kyle Leahy,Kansas City Royals,True,0.178,0.216,0.1,0.217,team,1.0,,,1.0,,,,1.0,0.187,22.8,4.44,4.23,4.25,2.79,[],3.5,-133,draftkings,125,betmgm,6,0.614,0.555,0.059,0.076,-0.132,0.522,-0.033,0.515,-0.04
2026-05-16,824600,2026-05-16T23:10:00Z,592791,Jameson Taillon,Chicago White Sox,False,0.215,0.2,0.116,0.242,team,1.0,,,1.0,,,,1.0,0.232,23.1,4.81,5.21,5.36,4.06,[],4.5,130,bovada,121,draftkings,5,0.621,0.567,0.054,0.428,-0.162,0.523,-0.044,0.518,-0.049
2026-05-16,824278,2026-05-16T17:10:00Z,663554,Casey Mize,Toronto Blue Jays,True,0.273,0.245,0.131,0.182,team,1.0,,,1.0,,,,1.0,0.211,21.3,6.03,4.52,4.48,3.08,[],4.5,130,fanduel,310,betrivers,6,0.465,0.416,0.049,0.069,1.194,0.497,0.081,0.509,0.093
2026-05-16,824038,2026-05-17T01:38:00Z,667755,José Soriano,Los Angeles Dodgers,True,0.284,0.254,0.152,0.205,team,1.0,,,1.0,,,,1.0,0.256,23.8,6.25,5.9,6.1,5.42,[],5.5,-115,betmgm,103,draftkings,5,0.569,0.528,0.041,0.065,-0.126,0.514,-0.014,0.521,-0.007
2026-05-16,823706,2026-05-16T23:10:00Z,701656,Logan Henderson,Minnesota Twins,False,0.327,0.327,0.135,0.229,team,1.01,,,1.0,,,,1.0,0.313,16.3,7.51,5.42,5.11,4.39,[],4.5,120,fanduel,123,draftkings,5,0.579,0.57,0.009,0.275,-0.062,0.516,-0.054,0.521,-0.049
2026-05-16,823139,2026-05-16T23:15:00Z,621111,Walker Buehler,Seattle Mariners,False,0.196,0.19,0.085,0.238,team,1.03,,,1.0,,,,1.0,0.201,20.2,4.46,4.16,4.07,2.77,[],3.5,110,betmgm,130,bovada,5,0.58,0.583,-0.003,0.218,-0.034,0.516,-0.067,0.514,-0.069
2026-05-16,823139,2026-05-16T23:15:00Z,669302,Logan Gilbert,San Diego Padres,True,0.255,0.239,0.142,0.233,team,1.03,,,1.0,,,,1.0,0.276,22.6,5.72,5.83,6.24,6.38,[],6.5,115,betmgm,-124,fanduel,5,0.433,0.466,-0.033,-0.07,0.025,0.492,0.026,0.521,0.055
2026-05-16,825007,2026-05-17T01:40:00Z,622663,Luis Severino,San Francisco Giants,True,0.223,0.184,0.102,0.217,team,1.0,,,1.0,,,,1.0,0.198,24.1,4.77,4.82,4.76,4.84,[],4.5,-128,fanduel,120,betmgm,5,0.517,0.559,-0.042,-0.078,0.062,0.506,-0.053,0.524,-0.035
2026-05-16,823706,2026-05-16T23:10:00Z,687570,Connor Prielipp,Milwaukee Brewers,True,0.266,0.266,0.111,0.207,team,1.01,,,1.0,,,,1.0,0.231,19.8,6.11,4.83,4.57,4.16,[],4.5,-115,betmgm,105,draftkings,5,0.48,0.524,-0.044,-0.102,0.066,0.5,-0.024,0.519,-0.005
