date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml
2026-05-23,824760,2026-05-23T20:10:00Z,663558,Jovani Morán,Minnesota Twins,True,0.276,0.417,0.14,0.227,team,0.96,0.322,28.0,7.64,9.39,9.01,,[],1.5,110,betonlineag,-143,betonlineag,1,0.999,0.447,0.552,1.097,-0.998,0.855,0.408,,
2026-05-23,823222,2026-05-23T20:05:00Z,663542,Bryan Hudson,San Francisco Giants,False,0.232,0.286,0.12,0.214,team,0.98,0.237,28.0,5.83,6.76,6.63,,[],0.5,-196,betonlineag,149,betonlineag,1,0.999,0.622,0.377,0.508,-0.997,0.852,0.23,,
2026-05-23,824760,2026-05-23T20:10:00Z,671737,Taj Bradley,Boston Red Sox,False,0.261,0.233,0.123,0.223,team,0.96,0.237,25.2,5.75,6.24,5.99,,[],4.5,125,bovada,140,betrivers,7,0.713,0.433,0.28,0.605,-0.312,0.571,0.138,,
2026-05-23,824518,2026-05-23T17:10:00Z,669467,Andre Pallante,Cincinnati Reds,False,0.188,0.23,0.106,0.234,lineup,1.0,0.213,24.0,4.7,5.19,5.1,,"[{""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 1}, {""id"": 682829, ""name"": ""Elly De La Cruz"", ""slot"": 2}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 3}, {""id"": 663993, ""name"": ""Nathaniel Lowe"", ""slot"": 4}, {""id"": 553993, ""name"": ""Eugenio Suárez"", ""slot"": 5}, {""id"": 668715, ""name"": ""Spencer Steer"", ""slot"": 6}, {""id"": 694362, ""name"": ""Blake Dunn"", ""slot"": 7}, {""id"": 663886, ""name"": ""Tyler Stephenson"", ""slot"": 8}, {""id"": 667472, ""name"": ""Dane Myers"", ""slot"": 9}]",4.5,230,betrivers,-120,betmgm,6,0.576,0.453,0.123,0.901,-0.223,0.533,0.08,,
2026-05-23,824920,2026-05-23T20:10:00Z,663623,Jake Irvin,Atlanta Braves,False,0.241,0.245,0.113,0.207,team,1.0,0.223,21.2,5.58,4.72,4.72,,[],4.5,295,betrivers,-150,bovada,6,0.51,0.418,0.092,1.013,-0.183,0.516,0.098,,
2026-05-23,824674,2026-05-23T18:20:00Z,607067,Colin Rea,Houston Astros,True,0.193,0.182,0.1,0.214,team,1.0,0.18,26.5,4.34,4.77,4.77,,[],4.5,110,betonlineag,180,betrivers,6,0.518,0.468,0.05,0.087,0.351,0.518,0.05,,
2026-05-23,824030,2026-05-24T02:05:00Z,543135,Nathan Eovaldi,Los Angeles Angels,False,0.242,0.223,0.169,0.254,team,1.0,0.264,25.5,5.4,6.75,6.75,,[],6.5,104,betonlineag,-111,draftkings,6,0.513,0.49,0.023,0.046,-0.073,0.517,0.027,,
2026-05-23,823543,2026-05-23T17:35:00Z,656876,Drew Rasmussen,New York Yankees,False,0.232,0.208,0.108,0.237,team,1.0,0.235,22.5,5.12,5.29,5.29,,[],5.5,240,betrivers,-150,bovada,5,0.435,0.425,0.01,0.478,-0.058,0.497,0.072,,
2026-05-23,824109,2026-05-23T20:10:00Z,663568,Stephen Kolek,Seattle Mariners,True,0.174,0.174,0.077,0.24,team,1.0,0.185,23.0,4.0,4.27,4.27,,[],4.5,132,fanduel,105,betmgm,6,0.423,0.415,0.008,-0.019,0.183,0.494,0.079,,
2026-05-23,824030,2026-05-24T02:05:00Z,700712,Walbert Ureña,Texas Rangers,True,0.207,0.189,0.12,0.227,team,1.0,0.202,23.0,4.59,4.63,4.63,,[],4.5,-105,betmgm,-110,fanduel,5,0.493,0.488,0.005,-0.038,-0.032,0.512,0.024,,
2026-05-23,824109,2026-05-23T20:10:00Z,669923,George Kirby,Kansas City Royals,False,0.207,0.205,0.109,0.22,team,1.0,0.202,24.8,4.74,5.0,5.0,,[],4.5,130,bovada,123,draftkings,7,0.56,0.558,0.002,0.288,-0.018,0.529,-0.029,,
2026-05-23,823543,2026-05-23T17:35:00Z,677960,Ryan Weathers,Tampa Bay Rays,True,0.299,0.289,0.125,0.187,team,1.0,0.245,22.7,6.79,5.56,5.56,,[],5.5,-104,fanduel,165,betrivers,4,0.482,0.487,-0.005,-0.055,0.373,0.509,0.022,,
2026-05-23,823862,2026-05-23T20:10:00Z,676974,Max Meyer,New York Mets,True,0.267,0.281,0.154,0.212,team,1.0,0.256,22.6,6.26,5.79,5.79,,[],5.5,155,betrivers,108,fanduel,7,0.52,0.538,-0.018,0.326,-0.002,0.519,-0.019,,
2026-05-23,824518,2026-05-23T17:10:00Z,663978,Chris Paddack,St. Louis Cardinals,True,0.185,0.158,0.109,0.212,team,1.0,0.165,22.7,4.01,3.73,3.73,,[],3.5,135,betmgm,115,fanatics,7,0.512,0.546,-0.034,0.204,0.048,0.517,-0.029,,
2026-05-23,824840,2026-05-23T20:05:00Z,664285,Framber Valdez,Baltimore Orioles,False,0.183,0.21,0.1,0.247,team,1.0,0.213,24.3,4.46,5.17,5.17,,[],5.5,116,fanduel,135,betrivers,7,0.414,0.45,-0.036,-0.106,0.377,0.491,0.041,,
2026-05-23,823458,2026-05-23T20:05:00Z,677944,Slade Cecconi,Philadelphia Phillies,False,0.182,0.19,0.094,0.222,team,1.0,0.182,23.1,4.25,4.22,4.22,,[],4.5,109,draftkings,-125,betmgm,7,0.414,0.455,-0.041,-0.134,0.054,0.491,0.036,,
2026-05-23,825080,2026-05-24T02:10:00Z,547179,Michael Lorenzen,Arizona Diamondbacks,False,0.152,0.164,0.093,0.204,team,1.0,0.142,24.0,3.6,3.41,3.41,,[],3.5,105,betmgm,188,betrivers,6,0.444,0.491,-0.047,-0.089,0.6,0.499,0.008,,
