date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,over_hit,error_v0,error_v1,error_v2,error_ml,over_pnl,under_pnl
2026-05-24,824514,2026-05-24T17:40:00Z,802408,Brycen Mautz,Cincinnati Reds,False,0.0,0.0,0.0,0.24,team,1.0,0.24,23.0,0.0,5.53,5.53,,[],3.5,135,betmgm,132,draftkings,4,0.801,0.573,0.228,0.883,-0.539,0.605,0.032,,,,,,,,,,,,,,,,,,0,,,,,,,
2026-05-24,822813,2026-05-24T16:15:00Z,656302,Dylan Cease,Pittsburgh Pirates,True,0.357,0.358,0.166,0.258,lineup,1.01,0.414,23.7,8.22,8.89,9.79,,"[{""id"": 687462, ""name"": ""Spencer Horwitz"", ""slot"": 1}, {""id"": 664040, ""name"": ""Brandon Lowe"", ""slot"": 2}, {""id"": 668804, ""name"": ""Bryan Reynolds"", ""slot"": 3}, {""id"": 693304, ""name"": ""Nick Gonzales"", ""slot"": 4}, {""id"": 665833, ""name"": ""Oneil Cruz"", ""slot"": 5}, {""id"": 682848, ""name"": ""Endy Rodríguez"", ""slot"": 6}, {""id"": 699013, ""name"": ""Esmerlyn Valdez"", ""slot"": 7}, {""id"": 663968, ""name"": ""Jake Mangum"", ""slot"": 8}, {""id"": 669707, ""name"": ""Jared Triolo"", ""slot"": 9}]",7.5,215,betrivers,118,fanduel,5,0.761,0.558,0.203,1.396,-0.478,0.59,0.032,,,7.5,215,118,0.72,0.558,0.163,0.577,0.02,,,1,2.15,-1.0,8,19,1,1,-0.22,-0.89,-1.79,,2.15,-1.0
2026-05-24,823220,2026-05-24T20:05:00Z,702273,Noah Schultz,San Francisco Giants,False,0.216,0.2,0.096,0.299,lineup,0.98,0.273,21.5,4.82,4.26,5.86,,"[{""id"": 642715, ""name"": ""Willy Adames"", ""slot"": 1}, {""id"": 650333, ""name"": ""Luis Arraez"", ""slot"": 2}, {""id"": 669477, ""name"": ""Casey Schmitt"", ""slot"": 3}, {""id"": 646240, ""name"": ""Rafael Devers"", ""slot"": 4}, {""id"": 656305, ""name"": ""Matt Chapman"", ""slot"": 5}, {""id"": 691740, ""name"": ""Daniel Susac"", ""slot"": 6}, {""id"": 683679, ""name"": ""Jesus Rodriguez"", ""slot"": 7}, {""id"": 664056, ""name"": ""Harrison Bader"", ""slot"": 8}, {""id"": 682674, ""name"": ""Victor Bericoto"", ""slot"": 9}]",4.5,100,betmgm,165,betrivers,5,0.696,0.494,0.202,0.391,-0.193,0.57,0.076,,,4.5,100,165,0.696,0.494,0.202,0.57,0.076,,,0,-1.0,1.65,1,20,1,0,-3.82,-3.26,-4.86,,-1.0,1.65
2026-05-24,824921,2026-05-24T20:10:00Z,656492,Foster Griffin,Atlanta Braves,False,0.228,0.254,0.112,0.217,lineup,1.0,0.23,24.3,5.48,5.38,5.59,,"[{""id"": 660670, ""name"": ""Ronald Acuña Jr."", ""slot"": 1}, {""id"": 643289, ""name"": ""Mauricio Dubón"", ""slot"": 2}, {""id"": 621566, ""name"": ""Matt Olson"", ""slot"": 3}, {""id"": 645277, ""name"": ""Ozzie Albies"", ""slot"": 4}, {""id"": 663586, ""name"": ""Austin Riley"", ""slot"": 5}, {""id"": 671739, ""name"": ""Michael Harris II"", ""slot"": 6}, {""id"": 642201, ""name"": ""Eli White"", ""slot"": 7}, {""id"": 673490, ""name"": ""Ha-Seong Kim"", ""slot"": 8}, {""id"": 506702, ""name"": ""Sandy León"", ""slot"": 9}]",4.5,107,draftkings,-125,bovada,4,0.656,0.466,0.19,0.358,-0.381,0.559,0.093,,,4.5,107,-125,0.656,0.466,0.19,0.559,0.093,,,1,1.07,-1.0,6,22,1,1,0.52,0.62,0.41,,1.07,-1.0
2026-05-24,824921,2026-05-24T20:10:00Z,527048,Martín Pérez,Washington Nationals,True,0.233,0.234,0.106,0.187,lineup,1.0,0.195,25.2,5.37,5.67,4.9,,"[{""id"": 695578, ""name"": ""James Wood"", ""slot"": 1}, {""id"": 678554, ""name"": ""Curtis Mead"", ""slot"": 2}, {""id"": 665953, ""name"": ""Andrés Chaparro"", ""slot"": 3}, {""id"": 682928, ""name"": ""CJ Abrams"", ""slot"": 4}, {""id"": 686611, ""name"": ""Dylan Crews"", ""slot"": 5}, {""id"": 695734, ""name"": ""Daylen Lile"", ""slot"": 6}, {""id"": 696285, ""name"": ""Jacob Young"", ""slot"": 7}, {""id"": 683083, ""name"": ""Nasim Nuñez"", ""slot"": 8}, {""id"": 660688, ""name"": ""Keibert Ruiz"", ""slot"": 9}]",4.5,140,betmgm,129,draftkings,5,0.542,0.429,0.113,0.3,0.05,0.529,0.1,,,4.5,140,129,0.542,0.429,0.113,0.529,0.1,,,0,-1.0,1.29,2,22,1,0,-3.37,-3.67,-2.9,,-1.0,1.29
2026-05-24,824108,2026-05-24T18:10:00Z,693433,Bryan Woo,Kansas City Royals,False,0.238,0.309,0.133,0.225,lineup,1.0,0.267,20.3,6.13,5.25,5.42,,"[{""id"": 672580, ""name"": ""Maikel Garcia"", ""slot"": 1}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""slot"": 2}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""slot"": 3}, {""id"": 521692, ""name"": ""Salvador Perez"", ""slot"": 4}, {""id"": 695600, ""name"": ""Carter Jensen"", ""slot"": 5}, {""id"": 695506, ""name"": ""Jac Caglianone"", ""slot"": 6}, {""id"": 686555, ""name"": ""Isaac Collins"", ""slot"": 7}, {""id"": 686681, ""name"": ""Michael Massey"", ""slot"": 8}, {""id"": 664728, ""name"": ""Kyle Isbel"", ""slot"": 9}]",5.5,125,betrivers,125,betmgm,5,0.457,0.425,0.032,0.029,0.221,0.508,0.083,,,5.5,125,125,0.493,0.425,0.068,0.517,0.092,,,0,-1.0,1.25,4,23,1,0,-2.13,-1.25,-1.42,,-1.0,1.25
2026-05-24,823861,2026-05-24T17:40:00Z,681035,Christian Scott,Miami Marlins,False,0.263,0.281,0.108,0.227,lineup,1.0,0.272,17.0,6.21,4.47,4.63,,"[{""id"": 689414, ""name"": ""Liam Hicks"", ""slot"": 1}, {""id"": 669364, ""name"": ""Xavier Edwards"", ""slot"": 2}, {""id"": 683357, ""name"": ""Owen Caissie"", ""slot"": 3}, {""id"": 669065, ""name"": ""Kyle Stowers"", ""slot"": 4}, {""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 5}, {""id"": 805300, ""name"": ""Jakob Marsee"", ""slot"": 6}, {""id"": 681393, ""name"": ""Connor Norby"", ""slot"": 7}, {""id"": 666624, ""name"": ""Christopher Morel"", ""slot"": 8}, {""id"": 691594, ""name"": ""Javier Sanoja"", ""slot"": 9}]",4.5,100,betmgm,-115,fanatics,3,0.492,0.48,0.012,-0.016,-0.05,0.517,0.037,,,4.5,-120,200,0.57,0.531,0.04,0.536,0.006,,,1,0.833,-1.0,5,24,1,1,-1.21,0.53,0.37,,1.0,-1.0
2026-05-24,824676,2026-05-24T18:20:00Z,663567,Peter Lambert,Chicago Cubs,False,0.243,0.225,0.138,0.18,lineup,1.0,0.188,24.0,5.42,5.35,4.52,,"[{""id"": 691718, ""name"": ""Pete Crow-Armstrong"", ""slot"": 1}, {""id"": 663538, ""name"": ""Nico Hoerner"", ""slot"": 2}, {""id"": 683737, ""name"": ""Michael Busch"", ""slot"": 3}, {""id"": 608324, ""name"": ""Alex Bregman"", ""slot"": 4}, {""id"": 624424, ""name"": ""Michael Conforto"", ""slot"": 5}, {""id"": 673548, ""name"": ""Seiya Suzuki"", ""slot"": 6}, {""id"": 694208, ""name"": ""Moisés Ballesteros"", ""slot"": 7}, {""id"": 608348, ""name"": ""Carson Kelly"", ""slot"": 8}, {""id"": 699393, ""name"": ""Pedro Ramírez"", ""slot"": 9}]",4.5,205,betrivers,100,bovada,5,0.472,0.49,-0.018,0.441,0.055,0.512,0.022,,,4.5,205,100,0.472,0.49,-0.018,0.512,0.022,,,1,2.05,-1.0,5,24,1,1,-0.42,-0.35,0.48,,2.05,-1.0
2026-05-24,825081,2026-05-24T20:10:00Z,500779,Jose Quintana,Arizona Diamondbacks,False,0.117,0.147,0.096,0.205,lineup,1.0,0.117,21.5,2.96,2.52,2.53,,"[{""id"": 606466, ""name"": ""Ketel Marte"", ""slot"": 1}, {""id"": 682998, ""name"": ""Corbin Carroll"", ""slot"": 2}, {""id"": 672695, ""name"": ""Geraldo Perdomo"", ""slot"": 3}, {""id"": 571448, ""name"": ""Nolan Arenado"", ""slot"": 4}, {""id"": 545121, ""name"": ""Ildemaro Vargas"", ""slot"": 5}, {""id"": 814439, ""name"": ""Ryan Waldschmidt"", ""slot"": 6}, {""id"": 699912, ""name"": ""Jose Fernandez"", ""slot"": 7}, {""id"": 605244, ""name"": ""Aramis Garcia"", ""slot"": 8}, {""id"": 694371, ""name"": ""Tommy Troy"", ""slot"": 9}]",2.5,-105,bovada,230,betrivers,5,0.463,0.488,-0.025,-0.096,0.771,0.509,0.021,,,2.5,-105,230,0.463,0.488,-0.025,0.509,0.021,,,0,-1.0,2.3,0,10,1,0,-2.96,-2.52,-2.53,,-1.0,2.3
2026-05-24,823459,2026-05-24T17:35:00Z,800048,Parker Messick,Philadelphia Phillies,False,0.28,0.279,0.134,0.217,lineup,1.0,0.27,21.4,6.43,5.91,5.77,,"[{""id"": 607208, ""name"": ""Trea Turner"", ""slot"": 1}, {""id"": 656941, ""name"": ""Kyle Schwarber"", ""slot"": 2}, {""id"": 547180, ""name"": ""Bryce Harper"", ""slot"": 3}, {""id"": 664761, ""name"": ""Alec Bohm"", ""slot"": 4}, {""id"": 592663, ""name"": ""J.T. Realmuto"", ""slot"": 5}, {""id"": 681082, ""name"": ""Bryson Stott"", ""slot"": 6}, {""id"": 666969, ""name"": ""Adolis García"", ""slot"": 7}, {""id"": 624641, ""name"": ""Edmundo Sosa"", ""slot"": 8}, {""id"": 669016, ""name"": ""Brandon Marsh"", ""slot"": 9}]",5.5,-127,betrivers,110,fanduel,6,0.517,0.545,-0.028,-0.076,0.014,0.523,-0.022,,,5.5,-127,110,0.619,0.545,0.074,0.549,0.004,,,1,0.787,-1.0,6,24,1,1,-0.43,0.09,0.23,,0.787,-1.0
