date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc,slate_line,slate_over_odds,slate_under_odds,slate_p_over,slate_novig_over,slate_edge,slate_cal_p_over_v2,slate_cal_edge_v2,slate_cal_p_over_ml,slate_cal_edge_ml,slate_over_hit,slate_over_pnl,slate_under_pnl,actual_ks,actual_bf,gs,error_v0,error_v1,error_v2,error_v2bc,error_ml,over_hit,over_pnl,under_pnl
2026-06-19,823124,2026-06-20T02:10:00Z,682243,Bryce Miller,Boston Red Sox,True,0.288,0.299,0.154,0.225,lineup,1.03,0.301,23.6,6.73,6.73,7.09,6.78,,"[{""id"": 681508, ""name"": ""Mickey Gasper"", ""slot"": 1}, {""id"": 678882, ""name"": ""Ceddanne Rafaela"", ""slot"": 2}, {""id"": 677800, ""name"": ""Wilyer Abreu"", ""slot"": 3}, {""id"": 575929, ""name"": ""Willson Contreras"", ""slot"": 4}, {""id"": 680776, ""name"": ""Jarren Duran"", ""slot"": 5}, {""id"": 702332, ""name"": ""Caleb Durbin"", ""slot"": 6}, {""id"": 691785, ""name"": ""Marcelo Mayer"", ""slot"": 7}, {""id"": 665966, ""name"": ""Carlos Narváez"", ""slot"": 8}, {""id"": 655316, ""name"": ""Andruw Monasterio"", ""slot"": 9}]",4.5,125,betrivers,132,fanduel,5,0.835,0.589,0.246,0.879,-0.617,0.658,0.069,,,0.789,0.2,4.5,125,132,0.822,0.589,0.233,0.65,0.061,,,1,1.25,-1.0,7,16,1,0.27,0.27,-0.09,0.22,,1,1.25,-1.0
2026-06-19,824663,2026-06-19T18:20:00Z,676962,Ben Brown,Toronto Blue Jays,True,0.245,0.225,0.126,0.212,lineup,1.0,0.223,28.0,5.46,5.8,6.25,5.94,,"[{""id"": 543807, ""name"": ""George Springer"", ""slot"": 1}, {""id"": 665489, ""name"": ""Vladimir Guerrero Jr."", ""slot"": 2}, {""id"": 660821, ""name"": ""Jesús Sánchez"", ""slot"": 3}, {""id"": 682818, ""name"": ""Yohendrick Piñango"", ""slot"": 4}, {""id"": 672386, ""name"": ""Alejandro Kirk"", ""slot"": 5}, {""id"": 664770, ""name"": ""Nathan Lukes"", ""slot"": 6}, {""id"": 672960, ""name"": ""Kazuma Okamoto"", ""slot"": 7}, {""id"": 676914, ""name"": ""Davis Schneider"", ""slot"": 8}, {""id"": 665926, ""name"": ""Andrés Giménez"", ""slot"": 9}]",4.5,-111,betonlineag,-104,draftkings,6,0.747,0.51,0.237,0.42,-0.504,0.61,0.1,,,0.719,0.209,4.5,-111,-104,0.762,0.51,0.251,0.617,0.107,,,0,-1.0,0.962,4,22,1,-1.46,-1.8,-2.25,-1.94,,0,-1.0,0.962
2026-06-19,824179,2026-06-20T00:10:00Z,837227,Tatsuya Imai,Cleveland Guardians,True,0.265,0.276,0.128,0.297,lineup,1.0,0.356,18.7,6.19,4.76,6.65,6.35,,"[{""id"": 683953, ""name"": ""Travis Bazzana"", ""slot"": 1}, {""id"": 700932, ""name"": ""Kyle Manzardo"", ""slot"": 2}, {""id"": 677587, ""name"": ""Brayan Rocchio"", ""slot"": 3}, {""id"": 656555, ""name"": ""Rhys Hoskins"", ""slot"": 4}, {""id"": 682177, ""name"": ""Daniel Schneemann"", ""slot"": 5}, {""id"": 672356, ""name"": ""Gabriel Arias"", ""slot"": 6}, {""id"": 696135, ""name"": ""Kahlil Watson"", ""slot"": 7}, {""id"": 672275, ""name"": ""Patrick Bailey"", ""slot"": 8}, {""id"": 680757, ""name"": ""Steven Kwan"", ""slot"": 9}]",4.5,118,betonlineag,126,fanduel,6,0.793,0.56,0.233,0.729,-0.532,0.634,0.074,,,0.755,0.195,4.5,118,126,0.573,0.56,0.013,0.535,-0.025,,,1,1.18,-1.0,11,24,1,4.81,6.24,4.35,4.65,,1,1.18,-1.0
2026-06-19,824910,2026-06-19T23:15:00Z,527048,Martín Pérez,Milwaukee Brewers,True,0.207,0.168,0.098,0.227,lineup,1.0,0.194,23.3,4.41,4.12,4.51,4.21,,"[{""id"": 592885, ""name"": ""Christian Yelich"", ""slot"": 1}, {""id"": 694192, ""name"": ""Jackson Chourio"", ""slot"": 2}, {""id"": 668930, ""name"": ""Brice Turang"", ""slot"": 3}, {""id"": 661388, ""name"": ""William Contreras"", ""slot"": 4}, {""id"": 669003, ""name"": ""Garrett Mitchell"", ""slot"": 5}, {""id"": 683734, ""name"": ""Andrew Vaughn"", ""slot"": 6}, {""id"": 663368, ""name"": ""Blake Perkins"", ""slot"": 7}, {""id"": 806198, ""name"": ""Cooper Pratt"", ""slot"": 8}, {""id"": 687401, ""name"": ""Joey Ortiz"", ""slot"": 9}]",3.5,-125,fanatics,112,draftkings,7,0.66,0.542,0.118,0.188,-0.279,0.57,0.028,,,0.651,0.109,3.5,-125,112,0.727,0.542,0.185,0.6,0.058,,,1,0.8,-1.0,5,25,1,0.59,0.88,0.49,0.79,,1,0.8,-1.0
2026-06-19,824345,2026-06-20T00:40:00Z,607536,Kyle Freeland,Pittsburgh Pirates,True,0.184,0.168,0.113,0.273,lineup,0.92,0.198,23.3,4.08,4.35,4.62,4.31,,"[{""id"": 687462, ""name"": ""Spencer Horwitz"", ""slot"": 1}, {""id"": 693304, ""name"": ""Nick Gonzales"", ""slot"": 2}, {""id"": 656811, ""name"": ""Ryan O'Hearn"", ""slot"": 3}, {""id"": 542303, ""name"": ""Marcell Ozuna"", ""slot"": 4}, {""id"": 664040, ""name"": ""Brandon Lowe"", ""slot"": 5}, {""id"": 682848, ""name"": ""Endy Rodríguez"", ""slot"": 6}, {""id"": 699013, ""name"": ""Esmerlyn Valdez"", ""slot"": 7}, {""id"": 669707, ""name"": ""Jared Triolo"", ""slot"": 8}, {""id"": 695257, ""name"": ""Billy Cook"", ""slot"": 9}]",3.5,125,betmgm,128,betrivers,6,0.677,0.574,0.103,0.524,-0.264,0.578,0.004,,,0.663,0.089,3.5,125,128,0.524,0.574,-0.05,0.516,-0.058,,,1,1.25,-1.0,8,26,1,3.92,3.65,3.38,3.69,,1,1.25,-1.0
2026-06-19,824990,2026-06-20T01:40:00Z,605488,Jeffrey Springs,Los Angeles Angels,True,0.201,0.213,0.105,0.293,lineup,1.0,0.268,20.0,4.74,4.55,5.36,5.05,,"[{""id"": 687263, ""name"": ""Zach Neto"", ""slot"": 1}, {""id"": 694384, ""name"": ""Nolan Schanuel"", ""slot"": 2}, {""id"": 666176, ""name"": ""Jo Adell"", ""slot"": 3}, {""id"": 672724, ""name"": ""Oswald Peraza"", ""slot"": 4}, {""id"": 695681, ""name"": ""Christian Moore"", ""slot"": 5}, {""id"": 694203, ""name"": ""Denzer Guzman"", ""slot"": 6}, {""id"": 681351, ""name"": ""Logan O'Hoppe"", ""slot"": 7}, {""id"": 685133, ""name"": ""Wade Meckler"", ""slot"": 8}, {""id"": 642350, ""name"": ""Jose Siri"", ""slot"": 9}]",4.5,130,betmgm,125,betrivers,7,0.62,0.52,0.1,0.425,-0.144,0.554,0.034,,,0.625,0.105,4.5,130,125,0.676,0.52,0.156,0.577,0.057,,,0,-1.0,1.25,4,18,1,-0.74,-0.55,-1.36,-1.05,,0,-1.0,1.25
2026-06-19,823853,2026-06-19T23:10:00Z,694738,Landen Roupp,Miami Marlins,False,0.263,0.246,0.111,0.234,lineup,1.0,0.267,22.6,5.89,5.72,6.04,5.74,,"[{""id"": 689414, ""name"": ""Liam Hicks"", ""slot"": 1}, {""id"": 683357, ""name"": ""Owen Caissie"", ""slot"": 2}, {""id"": 681715, ""name"": ""Heriberto Hernández"", ""slot"": 3}, {""id"": 669065, ""name"": ""Kyle Stowers"", ""slot"": 4}, {""id"": 672640, ""name"": ""Otto Lopez"", ""slot"": 5}, {""id"": 805300, ""name"": ""Jakob Marsee"", ""slot"": 6}, {""id"": 681393, ""name"": ""Connor Norby"", ""slot"": 7}, {""id"": 691788, ""name"": ""Joe Mack"", ""slot"": 8}, {""id"": 691594, ""name"": ""Javier Sanoja"", ""slot"": 9}]",5.5,-105,fanatics,-110,draftkings,3,0.561,0.48,0.081,0.095,-0.162,0.53,0.05,,,0.587,0.107,5.5,115,-129,0.5,0.446,0.055,0.507,0.061,,,1,1.15,-1.0,7,25,1,1.11,1.28,0.96,1.26,,1,0.952,-1.0
2026-06-19,823936,2026-06-20T02:10:00Z,808963,Roki Sasaki,Baltimore Orioles,True,0.237,0.292,0.145,0.253,lineup,1.02,0.297,22.5,5.96,6.17,6.69,6.39,,"[{""id"": 621493, ""name"": ""Taylor Ward"", ""slot"": 1}, {""id"": 683002, ""name"": ""Gunnar Henderson"", ""slot"": 2}, {""id"": 624413, ""name"": ""Pete Alonso"", ""slot"": 3}, {""id"": 694212, ""name"": ""Samuel Basallo"", ""slot"": 4}, {""id"": 665750, ""name"": ""Leody Taveras"", ""slot"": 5}, {""id"": 681297, ""name"": ""Colton Cowser"", ""slot"": 6}, {""id"": 691723, ""name"": ""Coby Mayo"", ""slot"": 7}, {""id"": 702616, ""name"": ""Jackson Holliday"", ""slot"": 8}, {""id"": 669236, ""name"": ""Jeremiah Jackson"", ""slot"": 9}]",6.5,132,betonlineag,115,fanatics,7,0.504,0.43,0.074,0.169,0.067,0.508,0.078,,,0.549,0.119,6.5,132,115,0.504,0.43,0.074,0.508,0.078,,,0,-1.0,1.15,6,21,1,0.04,-0.17,-0.69,-0.39,,0,-1.0,1.15
2026-06-19,823534,2026-06-19T23:05:00Z,693645,Cam Schlittler,Cincinnati Reds,True,0.295,0.293,0.147,0.244,lineup,1.0,0.32,23.1,6.77,7.49,7.39,7.09,,"[{""id"": 694362, ""name"": ""Blake Dunn"", ""slot"": 1}, {""id"": 668709, ""name"": ""JJ Bleday"", ""slot"": 2}, {""id"": 701398, ""name"": ""Sal Stewart"", ""slot"": 3}, {""id"": 663993, ""name"": ""Nathaniel Lowe"", ""slot"": 4}, {""id"": 668715, ""name"": ""Spencer Steer"", ""slot"": 5}, {""id"": 553993, ""name"": ""Eugenio Suárez"", ""slot"": 6}, {""id"": 663886, ""name"": ""Tyler Stephenson"", ""slot"": 7}, {""id"": 680574, ""name"": ""Matt McLain"", ""slot"": 8}, {""id"": 695490, ""name"": ""Edwin Arroyo"", ""slot"": 9}]",6.5,109,draftkings,112,fanduel,7,0.607,0.55,0.057,0.269,-0.167,0.549,-0.001,,,0.622,0.072,6.5,109,112,0.463,0.55,-0.087,0.492,-0.058,,,1,1.09,-1.0,13,23,1,6.23,5.51,5.61,5.91,,1,1.09,-1.0
2026-06-19,824910,2026-06-19T23:15:00Z,694819,Jacob Misiorowski,Atlanta Braves,False,0.391,0.388,0.188,0.206,lineup,1.0,0.357,24.4,8.96,8.87,8.72,8.41,,"[{""id"": 686948, ""name"": ""Drake Baldwin"", ""slot"": 1}, {""id"": 645277, ""name"": ""Ozzie Albies"", ""slot"": 2}, {""id"": 621566, ""name"": ""Matt Olson"", ""slot"": 3}, {""id"": 642086, ""name"": ""Dominic Smith"", ""slot"": 4}, {""id"": 643289, ""name"": ""Mauricio Dubón"", ""slot"": 5}, {""id"": 663586, ""name"": ""Austin Riley"", ""slot"": 6}, {""id"": 573262, ""name"": ""Mike Yastrzemski"", ""slot"": 7}, {""id"": 642201, ""name"": ""Eli White"", ""slot"": 8}, {""id"": 622761, ""name"": ""Jorge Mateo"", ""slot"": 9}]",8.5,110,draftkings,-130,betrivers,6,0.507,0.467,0.04,0.064,-0.127,0.509,0.042,,,0.555,0.088,8.5,110,-130,0.506,0.467,0.039,0.509,0.042,,,0,-1.0,0.769,7,24,1,-1.96,-1.87,-1.72,-1.41,,0,-1.0,0.769
