date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,proj_ks_v2bc,proj_ks_ml,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,cal_p_over_v2,cal_edge_v2,cal_p_over_ml,cal_edge_ml,cal_p_over_v2bc,cal_edge_v2bc
2026-09-20,824789,2026-09-20T23:20:00Z,694819,Jacob Misiorowski,Baltimore Orioles,False,0.382,0.303,0.191,0.248,team,1.0,0.387,22.3,8.06,8.64,8.64,8.64,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824381,2026-09-20T17:40:00Z,668909,Gavin Williams,Athletics,True,0.333,0.417,0.16,0.224,team,1.0,0.366,22.7,8.43,8.31,8.31,8.31,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823570,2026-09-20T17:10:00Z,804636,Jonah Tong,Philadelphia Phillies,True,0.22,0.295,0.143,0.219,team,1.02,0.248,28.0,5.75,6.82,6.95,6.95,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823570,2026-09-20T17:10:00Z,650911,Cristopher Sánchez,New York Mets,False,0.267,0.212,0.159,0.224,team,1.02,0.249,26.1,5.64,6.37,6.5,6.5,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824139,2026-09-20T18:10:00Z,686613,Hunter Brown,Atlanta Braves,True,0.271,0.33,0.111,0.216,team,1.0,0.283,22.7,6.78,6.43,6.43,6.43,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824381,2026-09-20T17:40:00Z,678022,Jack Perkins,Cleveland Guardians,False,0.256,0.221,0.127,0.21,team,1.0,0.225,28.0,5.56,6.31,6.31,6.31,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823329,2026-09-20T17:35:00Z,669199,Lake Bachar,Kansas City Royals,True,0.252,0.222,0.134,0.21,team,1.0,0.224,28.0,5.52,6.27,6.27,6.27,,[],,,,,,0,,,,,,,,,,,
2026-09-20,822844,2026-09-20T18:35:00Z,693686,Spencer Miles,Texas Rangers,False,0.235,0.193,0.091,0.229,team,1.0,0.222,28.0,5.02,6.22,6.22,6.22,,[],,,,,,0,,,,,,,,,,,
2026-09-20,822844,2026-09-20T18:35:00Z,594798,Jacob deGrom,Toronto Blue Jays,True,0.312,0.356,0.174,0.191,team,1.0,0.28,21.2,7.58,5.93,5.93,5.93,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823329,2026-09-20T17:35:00Z,608379,Michael Wacha,Pittsburgh Pirates,False,0.196,0.227,0.105,0.24,team,1.0,0.222,25.4,4.79,5.66,5.66,5.66,,[],,,,,,0,,,,,,,,,,,
2026-09-20,822922,2026-09-20T17:40:00Z,643377,Griffin Jax,Boston Red Sox,True,0.256,0.292,0.146,0.215,team,1.0,0.258,20.0,6.21,5.15,5.15,5.15,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823001,2026-09-20T18:15:00Z,687273,Quinn Mathews,Washington Nationals,True,0.222,0.215,0.123,0.218,team,1.0,0.212,23.6,5.04,5.0,5.0,5.0,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823975,2026-09-20T20:07:00Z,665152,Dean Kremer,Los Angeles Angels,False,0.217,0.206,0.13,0.254,team,1.0,0.24,20.6,4.89,4.95,4.95,4.95,,[],,,,,,0,,,,,,,,,,,
2026-09-20,825028,2026-09-20T20:10:00Z,701542,Will Warren,Arizona Diamondbacks,False,0.229,0.259,0.098,0.196,team,1.0,0.21,23.0,5.54,4.83,4.83,4.83,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823001,2026-09-20T18:15:00Z,663623,Jake Irvin,St. Louis Cardinals,False,0.225,0.2,0.109,0.208,team,1.0,0.199,23.1,4.95,4.58,4.58,4.58,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824546,2026-09-20T18:10:00Z,675512,Troy Melton,Chicago White Sox,False,0.2,0.139,0.119,0.243,team,1.0,0.19,24.0,4.04,4.55,4.55,4.55,,[],,,,,,0,,,,,,,,,,,
2026-09-20,822922,2026-09-20T17:40:00Z,663776,Patrick Sandoval,Tampa Bay Rays,False,0.232,0.252,0.118,0.186,team,1.0,0.198,21.9,5.53,4.34,4.34,4.34,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824789,2026-09-20T23:20:00Z,687064,Brandon Young,Milwaukee Brewers,True,0.188,0.18,0.115,0.217,team,1.0,0.178,24.3,4.25,4.32,4.32,4.32,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823247,2026-09-20T20:10:00Z,645261,Sandy Alcantara,San Diego Padres,False,0.173,0.138,0.106,0.215,team,1.02,0.156,26.5,3.66,4.05,4.13,4.13,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823975,2026-09-20T20:07:00Z,696270,Ryan Johnson,Minnesota Twins,True,0.18,0.197,0.107,0.212,team,1.0,0.176,23.1,4.3,4.06,4.06,4.06,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824300,2026-09-20T19:10:00Z,807739,Kade Anderson,Colorado Rockies,False,0.196,0.196,0.121,0.228,team,0.92,0.183,21.4,4.51,4.25,3.91,3.91,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823247,2026-09-20T20:10:00Z,621111,Walker Buehler,Miami Marlins,True,0.2,0.198,0.089,0.22,team,1.02,0.199,19.5,4.58,3.79,3.87,3.87,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824139,2026-09-20T18:10:00Z,527048,Martín Pérez,Houston Astros,False,0.174,0.142,0.091,0.218,team,1.0,0.156,23.4,3.7,3.65,3.65,3.65,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824462,2026-09-20T17:40:00Z,695076,Rhett Lowder,Chicago Cubs,True,0.174,0.144,0.083,0.21,team,1.0,0.152,23.0,3.73,3.48,3.48,3.48,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824546,2026-09-20T18:10:00Z,663436,Davis Martin,Detroit Tigers,True,0.194,0.107,0.111,0.228,team,1.0,0.161,20.4,3.67,3.29,3.29,3.29,,[],,,,,,0,,,,,,,,,,,
2026-09-20,825028,2026-09-20T20:10:00Z,669203,Corbin Burnes,New York Yankees,True,0.188,0.188,0.0,0.245,team,1.0,0.204,16.0,4.31,3.26,3.26,3.26,,[],,,,,,0,,,,,,,,,,,
2026-09-20,824300,2026-09-20T19:10:00Z,608372,Tomoyuki Sugano,Seattle Mariners,True,0.14,0.147,0.089,0.231,team,0.92,0.135,22.9,3.28,3.36,3.09,3.09,,[],,,,,,0,,,,,,,,,,,
2026-09-20,823896,2026-09-20T20:10:00Z,683363,Matt Wilkinson,Los Angeles Dodgers,False,0.148,0.125,0.075,0.203,team,1.02,0.128,18.6,3.19,2.33,2.37,2.37,,[],,,,,,0,,,,,,,,,,,
